"","hour","meanH","sdH","minH","maxH","varH","rateH","posH","negH","neutH","proximityH"
"370","Feb 18 12",-0.269495424836601,0.50568752695033,-0.9393,0.7385,0.255719874913141,153,0.0975424836601307,0.190196078431373,0.712281045751634,89.1833605664488
"371","Feb 18 13",-0.19325628742515,0.465403775017556,-0.9747,0.7906,0.216600673800592,167,0.0924431137724551,0.167754491017964,0.739850299401198,90.1599634065203
"372","Feb 18 14",-0.233868679245283,0.445956763557033,-0.9246,0.8267,0.198877434962264,265,0.0821283018867925,0.162218867924528,0.755671698113208,91.1950513626834
"373","Feb 18 15",-0.223223333333333,0.472009690949302,-0.9485,0.8122,0.222793148350056,300,0.0814866666666667,0.16122,0.757313333333333,92.1792222222222
"374","Feb 18 16",-0.289034218289086,0.459805936306102,-0.9747,0.7842,0.211421499062331,339,0.0726843657817109,0.178896755162242,0.748474926253687,93.1732522123894
"375","Feb 18 17",-0.278303773584906,0.446654806173194,-0.9417,0.9442,0.199500515877613,371,0.0706711590296496,0.169382749326146,0.759956873315364,94.1492437855645
"376","Feb 18 18",-0.311044050632911,0.454464637217256,-0.9747,0.8493,0.206538106481012,395,0.0670379746835443,0.177756962025316,0.755207594936709,95.1513593530239
"377","Feb 18 19",-0.302181388888889,0.452370619941621,-0.9287,0.7717,0.204639177786367,360,0.064825,0.173625,0.761583333333333,96.1535586419753
"378","Feb 18 20",-0.291582558139535,0.437761209237377,-0.9393,0.7385,0.191634876312971,344,0.0644505813953488,0.166078488372093,0.769491279069767,97.1749135981912
"379","Feb 18 21",-0.340006034482759,0.442997692493153,-0.9569,0.8122,0.196246955554258,348,0.0566206896551724,0.176436781609195,0.766922413793103,98.1597030651341
"380","Feb 18 22",-0.290216573033708,0.448224304989941,-0.9259,0.7814,0.200905027583716,356,0.0599691011235955,0.165564606741573,0.774494382022472,99.165211454432
"381","Feb 18 23",-0.222471466666667,0.464679731075546,-0.9393,0.836,0.215927252472442,375,0.0652586666666667,0.148,0.786762666666667,100.145704444444
"382","Feb 19 00",-0.25695737704918,0.453973872505932,-0.9522,0.7184,0.206092276918033,366,0.0682896174863388,0.161622950819672,0.770122950819672,101.153463114754
"383","Feb 19 01",-0.264561006289308,0.475126260013261,-0.9524,0.9035,0.225744962954189,318,0.0686666666666667,0.162323899371069,0.769034591194969,102.150987945493
"384","Feb 19 02",-0.295582105263158,0.458365322498105,-0.9412,0.769,0.210098768868792,285,0.0610385964912281,0.168294736842105,0.770687719298246,103.168134502924
"385","Feb 19 03",-0.314308955223881,0.489280511129545,-0.9509,0.8316,0.239395418571189,268,0.0663917910447761,0.186328358208955,0.747305970149254,104.120258084577
"386","Feb 19 04",-0.252113191489362,0.502136370064428,-0.926,0.8939,0.25214093414148,235,0.0714212765957447,0.160042553191489,0.768523404255319,105.152793144208
"387","Feb 19 05",-0.269602884615385,0.459611753077005,-0.926,0.8805,0.211242963566518,208,0.0662163461538462,0.160288461538462,0.7735,106.116521100427
"388","Feb 19 06",-0.169531756756757,0.501687788382235,-0.93,0.8939,0.251690637011859,148,0.0823851351351351,0.148864864864865,0.768858108108108,107.131927552553
"389","Feb 19 07",-0.161945098039216,0.462454255603179,-0.882,0.7574,0.21386393852549,51,0.076843137254902,0.136392156862745,0.786725490196078,108.416160130719
"390","Feb 19 08",-0.260802597402597,0.504425330913158,-0.9286,0.6909,0.254444914466849,77,0.0784025974025974,0.179038961038961,0.742584415584416,109.064848484848
"391","Feb 19 09",-0.24380119047619,0.493317303860023,-0.9286,0.6369,0.243361962287722,84,0.0780952380952381,0.171059523809524,0.750857142857143,110.184404761905
"392","Feb 19 10",-0.198427027027027,0.511762989421593,-0.9246,0.7096,0.261901357341725,74,0.0804324324324324,0.161608108108108,0.757959459459459,111.102102102102
"393","Feb 19 11",-0.215625225225225,0.483128534651253,-0.9246,0.7133,0.233413180994267,111,0.0802972972972973,0.170774774774775,0.748945945945946,112.150643143143
"394","Feb 19 12",-0.267965243902439,0.535713096183619,-0.9246,0.836,0.286988521422639,164,0.0841646341463415,0.191951219512195,0.723920731707317,113.206026422764
"395","Feb 19 13",-0.31426261682243,0.529270401177955,-0.9393,0.8955,0.280127157563073,214,0.0750420560747664,0.20803738317757,0.716957943925234,114.172721962617
"396","Feb 19 14",-0.269820634920635,0.487444794853101,-0.9393,0.836,0.237602428029382,189,0.0745185185185185,0.178730158730159,0.746751322751323,115.150380658436
"397","Feb 19 15",-0.21923119266055,0.499848350679396,-0.9246,0.8528,0.249848373676912,218,0.0820183486238532,0.164669724770642,0.753311926605505,116.172014525994
"398","Feb 19 16",-0.337804,0.474763611422489,-0.9417,0.836,0.225400486730924,250,0.062712,0.193776,0.74352,117.13513
"399","Feb 19 17",-0.367346107784431,0.47197520341906,-0.9538,0.9178,0.222760592642463,334,0.0548562874251497,0.196269461077844,0.748877245508982,118.186852960745
"400","Feb 19 18",-0.328136328125,0.45767579197227,-0.9477,0.836,0.209467130557445,256,0.0553984375,0.18325,0.7613359375,119.123523220486
"401","Feb 19 19",-0.296634074074074,0.471803726859494,-0.93,0.836,0.222598756678508,270,0.0577,0.169822222222222,0.772481481481481,120.132863168724
"402","Feb 19 20",-0.309328853754941,0.458337554436699,-0.9266,0.8645,0.210073313807014,253,0.0674308300395257,0.180695652173913,0.751865612648221,121.144600351339
"403","Feb 19 21",-0.311221030042918,0.448382213067697,-0.9538,0.8549,0.201046608995486,233,0.058755364806867,0.175017167381974,0.766248927038627,122.098568192656
"404","Feb 19 22",-0.319231330472103,0.460387015517678,-0.9322,0.836,0.211956204057274,233,0.0588969957081545,0.174854077253219,0.766244635193133,123.186808536004
"405","Feb 19 23",-0.341198936170213,0.481588520444347,-0.9369,0.8519,0.231927503023775,282,0.0576879432624113,0.191748226950355,0.750578014184397,124.147708825847
"406","Feb 20 00",-0.354463070539419,0.466181976455761,-0.9524,0.7506,0.217325635172199,241,0.0646141078838174,0.189755186721992,0.745663900414938,125.178858921162
"407","Feb 20 01",-0.380254922279793,0.427642375766441,-0.9477,0.8658,0.182878001551166,193,0.0491243523316062,0.191948186528497,0.758974093264249,126.164964018423
"408","Feb 20 02",-0.308437435897436,0.499935828029989,-0.9403,0.8481,0.249935832148031,195,0.0702051282051282,0.189420512820513,0.740415384615385,127.169086894587
"409","Feb 20 03",-0.361118095238095,0.45331859932498,-0.9538,0.8705,0.205497752493962,210,0.0605619047619048,0.201428571428571,0.738019047619048,128.122850529101
"410","Feb 20 04",-0.284517834394904,0.436136406341303,-0.9476,0.7866,0.190214964936306,157,0.0732611464968153,0.178808917197452,0.747828025477707,129.172876857749
